sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:19:36,901 [65] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,887 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:36,903 [65] INFO  WSFedModule FED -> Using
2019-07-10 10:19:36,904 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,898 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,904 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:36,919 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,953 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:19:36,980 [64] INFO  WSFedModule FED -> Using
2019-07-10 10:19:37,100 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:19:37,120 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,429 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,433 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,436 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,546 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,549 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,551 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,629 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,631 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,636 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,685 [64] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,686 [64] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,688 [64] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,726 [65] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,728 [65] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,729 [65] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,819 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,822 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,823 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:19:44,862 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:44,864 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:44,865 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:21:54,853 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:54,854 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:54,855 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:21:54,936 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:54,937 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:54,938 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:21:54,995 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:54,996 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:54,997 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:21:55,044 [44] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:55,045 [44] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:55,046 [44] INFO  WSFedModule FED -> Using
2019-07-10 10:21:55,100 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:55,103 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:55,104 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:21:55,146 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:55,149 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:55,152 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:21:55,194 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:21:55,195 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:21:55,196 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:23:20,209 [31] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:23:20,426 [31] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:23:20,485 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:20,487 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:23:20,622 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:20,636 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:23:20,647 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:23,662 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:23:23,680 [42] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:23,694 [42] INFO  WSFedModule FED -> Using
2019-07-10 10:23:23,698 [46] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:23,702 [46] INFO  WSFedModule FED -> Using
2019-07-10 10:23:56,582 [23] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:23:56,801 [23] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:23:56,864 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:23:59,646 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:24:06,378 [64] INFO  SessionModule SESSION -> Using
2019-07-10 10:24:06,384 [64] INFO  WSFedModule FED -> Using
2019-07-10 10:25:31,241 [34] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:25:31,452 [34] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:25:31,520 [42] INFO  SessionModule SESSION -> Using
2019-07-10 10:25:31,526 [42] INFO  WSFedModule FED2 -> Using
2019-07-10 10:25:34,338 [42] INFO  WSFedModule FED -> Using
2019-07-10 10:25:34,359 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:25:34,361 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:25:34,374 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:25:34,379 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:25:34,381 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:25:34,388 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:26:02,060 [34] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:26:02,310 [34] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:26:02,372 [59] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:02,375 [59] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:02,386 [46] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:05,100 [46] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:05,117 [42] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:05,145 [42] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:05,157 [62] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:05,159 [62] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:10,017 [44] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:10,035 [44] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:10,472 [46] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:10,487 [46] INFO  WSFedModule FED -> NOT Using
2019-07-10 10:26:11,000 [62] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:26:11,002 [62] INFO  WSFedModule FED -> NOT Using
